title,institute,order,profile
"Nanodegree, Machine Learning - Introduction With Pytorch",Udacity,2,profile_393
Master of Science ,Hochschule München University of Applied Sciences,3,profile_393
"Diplom-Ingenieur, Communications And Telecommunication Engineering",Kaiserslautern University of Applied Sciences,1,profile_394
"Dr. Rer. Pol., Logistics And Supply Chain Management",University of Mannheim,1,profile_395
"Phd Student, Operations And Information System",University of Mannheim,2,profile_395
"Master, Production Engineering",RWTH Aachen University,3,profile_395
"Specialist , Economist",Federal State Budgetary Educational Institution of Higher Education ,1,profile_396
"Master of Science, Computational Science And Engineering",Technical University of Munich,1,profile_397
"Bachelor of Engineering, Control Engineering And Robotics",Wroclaw University of Science and Technology,2,profile_397
"Master, Biostatistik",Ludwig-Maximilians-Universität München,1,profile_398
"Bachelor of Science - Bs, Statistik",Ludwig-Maximilians-Universität München,2,profile_398
"Master, Informatik",Ludwig-Maximilians-Universität München,1,profile_399
"Bachelor, Computerlinguistik Mit Nebenfach Informatik",Ludwig-Maximilians-Universität München,2,profile_399
"Master of Science - Ms, Wirtschaftsinformatik",University of Regensburg,1,profile_4
"Bachelor of Science - Bs, Wirtschaftsinformatik",University of Regensburg,2,profile_4
"Master of Science - Ms, Physics",Ludwig-Maximilians-Universität München,1,profile_40
"Bachelor of Science - Bs, Physics",Ludwig-Maximilians-Universität München,2,profile_40
Master of Business Administration - Mba,International Graduate Center - Hochschule Bremen ,1,profile_400
"Bachelor's Degree, Mechanical Engineering",Visvesvaraya Technological University,2,profile_400
Researcher Phd Student,Technical University of Munich,1,profile_401
"Master's Degree, Data Modelling / Big Data Analytics",Universitat Autònoma de Barcelona,2,profile_401
"Bachelor's Degree, Mathematics",University of Valencia,3,profile_401
Exchange Semester,Ludwig-Maximilians-Universität München,1,profile_402
Bachelor of Commerce/Bachelor of Economics,UNSW,2,profile_402
International Baccalaureate Diploma Programme,"Queensland Academy for Science, Mathematics and Technology",3,profile_402
"Master's Degree, Information Technology",Higher School of Economics,1,profile_403
"Semester Program, Business Administration",EU Business School,2,profile_403
"Bachelor's Degree, Information Technology","Moscow State University of Economics, Statistics and Informatics ",3,profile_403
"Master of Science - Ms, Informationssysteme",Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt,1,profile_404
"Bachelor of Science - Bs, E-Commerce",Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt,2,profile_404
"Master of Science - Ms, Cognitive Systems",Ulm University,1,profile_405
"Bachelor of Science - Bs, Psychologie",Otto-Friedrich-Universität Bamberg,2,profile_405
"Phd Student, Radiation Biology/Radiobiology",Technical University of Munich,1,profile_406
"Phd Student, Radiation Biology/Radiobiology",Technical University of Munich,2,profile_406
"Master of Science - Ms, Biochemistry",Ruhr University Bochum,3,profile_406
Bachelor of Science ,Technical University of Munich,1,profile_407
"Niveau C1, German",IIK Düsseldorf,2,profile_407
"Baccalauréat, Mathematics",Lycée Pilote Bourguiba Tunis / LPBT,3,profile_407
Doctor of Philosophy ,Technical University of Munich,1,profile_408
Master of Science ,Technical University of Munich,2,profile_408
"Bachelor's Degree, Computer Science & Engineering",Damascus University,3,profile_408
"Master's Degree, Operations Research",North Carolina State University,1,profile_409
B.E,"Birla Institute of Technology and Science, Pilani",2,profile_409
Icse,"St.Joseph's Public School,Hyderabad,India",3,profile_409
"Master of Science - Ms, Mathematics In Data Science",Technical University of Munich,1,profile_41
"Master's Degree, Numerical Analysis And Mathematical Modeling",Yerevan State University,2,profile_41
"Training, Machine Learning",Armenian Code Academy,3,profile_41
"Bachelor of Technology - Btech, Electrical, Electronics And Communications Engineering","Annamacharya Institute of Technology & Sciences, Hyderabad",1,profile_410
,St Anns High School ,2,profile_410
Master of Science ,University of Kaiserslautern,1,profile_411
Bachelor of Arts ,Pforzheim University,2,profile_411
General Qualification For University Entrance,Carl-Benz-Gymnasium Ladenburg,3,profile_411
"Master of Science - Ms, Management And Technology",TUM School of Management,1,profile_412
"Master of Business Administration - Mba, Big Data Management",LUISS Business School,2,profile_412
"Bachelor of Business Administration - Bba, Business Administration And Management, General",Università degli Studi di Trieste,3,profile_412
Full-Stack Web Development Bootcamp,Ironhack,1,profile_413
"Deep Learning Nanodegree, Artificial Intelligence",Udacity,2,profile_413
"Natural Language Processing Nanodegree, Natural Language Processing",Udacity,3,profile_413
"Bachelor's Degree, Statistik",Ludwig-Maximilians-Universität München,1,profile_414
"Master, Mathematik",Ludwig-Maximilians-Universität München,2,profile_414
"Master's Degree, Business Analytics",National University of Singapore,1,profile_415
Bachelor of Engineering ,Pondicherry University,2,profile_415
"High School, Computer Science",Petit seminaire,3,profile_415
"Master of Science - Ms, Physics ",Technical University of Munich,1,profile_416
"Bachelor of Science - Bs, Physik",Technical University of Munich,2,profile_416
"Doctor of Philosophy - Phd, Computational Neuroscience",KTH Royal Institute of Technology,1,profile_417
"Doctor of Philosophy - Phd, Computational Neuroscience",The University of Freiburg,2,profile_417
"Msc, School of Electrical Engineering, Biotechnology, Neural Engineering, Neural Interfaces",University of Belgrade,3,profile_417
"Master's Degree, Artificial Intelligence",University of Kaiserslautern,1,profile_418
"Certification, German Language And Literature",National University of Modern Languages ,2,profile_418
"Bachelor's Degree, Computer Software Engineering",PAF-Karachi Institute of Economics & Technology,3,profile_418
"Master of Science - Ms, Robotics, Cognition And Intelligence",Technical University of Munich,1,profile_419
"Aufbaustudium, Informatik",Technical University of Munich,2,profile_419
"Master of Science - Ms, Maschinenbau",Technical University of Munich,3,profile_419
"Master of Science - Ms, Financial Management",Robert Gordon University,1,profile_42
"Bachelor of Arts - Ba, International Business",Saxion University of Applied Sciences,2,profile_42
"Doctor of Philosophy - Phd, Teilchenphysik",Technical University of Munich,1,profile_420
"Master of Science - Ms, Kern-, Teilchen- Und Astrophysik",Technical University of Munich,2,profile_420
"Bachelor of Science - Bs, Physik",Technical University of Munich,3,profile_420
"Doctor of Philosophy - Phd, Environmental Sciences ",Universidad Autónoma de Baja California,1,profile_421
"Master's Degree, Sustainability Studies ",Technical University of Munich,2,profile_421
"Bachelor's Degree, Biology, General ",Universidad Autónoma de Baja California,3,profile_421
"Bachelor of Science - Bs, Bioinformatik",Goethe University,1,profile_422
"Master of Science - Ms, Bioinformatik",Ludwig-Maximilians-Universität München,2,profile_422
"Master of Science - Ms, Bioinformatik",Technical University of Munich,3,profile_422
"Master's Degree, Biomedical/Medical Engineering",Hochschule Furtwangen University,1,profile_423
"Bachelor's Degree, Biomedical/Medical Engineering",M.G.M's Jawaharlal Nehru College of Engineering,2,profile_423
,Vasant Vihar High School and Junior College,3,profile_423
"Master's Degree, Applied Data Science",Frankfurt School of Finance & Management,1,profile_424
Bs- Computer Science,Institute of Business Administration,2,profile_424
"Master of Science - Ms, Bioinformatik",Ludwig-Maximilians-Universität München,1,profile_425
"Master of Science - Ms, Bioinformatik",Technical University of Munich,2,profile_425
"Bachelor of Science - Bs, Bioinformatik",Ludwig-Maximilians-Universität München,3,profile_425
"Master of Science - Ms, Consumer Science",Technical University of Munich,1,profile_426
"Bachelor of Science - Bs, Economics",Ludwig-Maximilians-Universität München,2,profile_426
"Bachelor of Science - Bs, Psychologie",FernUniversität in Hagen,3,profile_426
Master of Science ,FAU Erlangen-Nürnberg,1,profile_427
Bachelor of Arts ,The University of Freiburg,2,profile_427
"Bachelor of Science - Bs, Business Information Systems",Technische Hochschule Ingolstadt,1,profile_428
"Apprenticeship, It Specialist For Application Development ",Siemens Professional Education,2,profile_428
"Master's Degree, Power Engineering",Technical University of Munich,1,profile_429
Bachelor of Engineering ,Ghulam Ishaq Khan Institute of Engineering and Technology,2,profile_429
"Phd In Computer Science, Techniques For Context-Aware And Cold-Start Recommendations",Free University of Bozen-Bolzano,1,profile_43
Master In Computer Science,Free University of Bozen-Bolzano,2,profile_43
Bachelor In Applied Computer Science,Free University of Bozen-Bolzano,3,profile_43
Master of Science ,Technische Universität Darmstadt,1,profile_430
Bachelor of Science ,Technische Universität Darmstadt,2,profile_430
"Ma, Economics",Delhi School of Economics,1,profile_431
Ba ,"St. Stephen's College, Delhi",2,profile_431
"I.S.C., Class 12Th",The Doon School,3,profile_431
"Ph.D., Information Systems & Operations Management",HEC Paris,1,profile_432
Visiting Scholar ,Georgia Institute of Technology,2,profile_432
Modern Hebrew,The Hebrew University of Jerusalem,3,profile_432
"Master's Degree, Maschinenbau",Karlsruhe Institute of Technology ,1,profile_433
"Bachelor's Degree, Vehicle Engineering",Hefei University of Technology,2,profile_433
"Master's Degree, Business Administration",Universität Passau,1,profile_434
"Bachelor's Degree, Industrial Engineering",ITESO Universidad Jesuita de Guadalajara,2,profile_434
"Semester Abroad, Business, Management, Marketing, And Related Support Services",Universidad de Almería,3,profile_434
"Master of Arts - Ma, Interkulturelles Unternehmens- Und Technologiemanagement",OTH Amberg-Weiden,1,profile_435
"Bachelor of Arts - Ba, Betriebswirtschaft",TH Nürnberg Georg Simon Ohm,2,profile_435
"Master of Science - Ms, Data Science","City, University of London",1,profile_436
"Bachelor of Arts - Ba, Psychology ",Western University,2,profile_436
Doctoral Degree ,Ludwig-Maximilians-Universität München,1,profile_437
Master Thesis ,University of Alberta,2,profile_437
"Master's Degree, Computer Science",Ludwig-Maximilians-Universität München,3,profile_437
"Dr. Rer. Nat., Statistik",Ludwig-Maximilians-Universität München,1,profile_438
"M. Sc, Statistic",Ludwig-Maximilians University Munich,2,profile_438
"B. Sc, Statistic",Ludwig-Maximilians University Munich,3,profile_438
"Bachelor of Science - Bs, Business Mathematics",Rosenheim Technical University of Applied Sciences,1,profile_439
"Bachelor's Degree, Management And Technology",Technical University of Munich,1,profile_44
Engineering Physics,Technische Universität Graz,2,profile_44
"Matura, Mechatronics",HTL Wels,3,profile_44
"Master's Degree, Artificial Intelligence",University of Kaiserslautern,1,profile_440
Bachelor of Technology ,"West Bengal University of Technology, Kolkata",2,profile_440
"Xii, Science",Kendriya Vidyalaya,3,profile_440
"Bachelor of Science - Bs, Wirtschaftsinformatik",Hochschule für angewandte Wissenschaften Kempten,1,profile_441
"Diploma, Physics",University of Regensburg,1,profile_442
"Certificate, International And Intercultural Competence",Hochschule Regensburg,2,profile_442
Master of Science ,Technical University of Munich,1,profile_443
Bachelor of Technology ,"Amrita Vishwa Vidyapeetham, Coimbatore",2,profile_443
Aerodynamics And Fluid Mechanics,Technical University of Munich,3,profile_443
"Master of Arts, Arts And Cultural Management",King's College London,1,profile_45
Bachelor of Arts ,University of Düsseldorf,2,profile_45
"Bachelor's Degree, Mechatronics, Robotics, And Automation Engineering",Bauman Moscow State Technical University,1,profile_46
"Master's Degree, Business Analytics",Plekhanov Russian University of Economics,2,profile_46
"Mitx Micromasters Program Certificate, Statistics And Data Science",MITx on edX,3,profile_46
"Master of Science - Ms, Data Engineering",Jacobs University Bremen,1,profile_47
"Bachelor's Degree, Electrical, Electronic And Communications Engineering Technology/Technician",Bharati Vidyapeeth,2,profile_47
Master of Science ,University of Vienna,1,profile_48
,University of Illinois Urbana-Champaign,2,profile_48
Bachelor of Science ,University of Vienna,3,profile_48
"Doctor of Philosophy - Phd, Astrophysics",Université Côte d'Azur,1,profile_49
"Bachelor's Degree, Physics",Ferdowsi University of Mashhad,2,profile_49
"Bachelor of Arts - Ba, Ökonomie Und Soziologie",FAU Erlangen-Nürnberg,1,profile_5
"Master of Science, Statistics",Humboldt University of Berlin,1,profile_50
Bachelor of Science ,Ludwig-Maximilians-Universität München,2,profile_50
,University of Melbourne,3,profile_50
"Msc, Mathematics",The Julius Maximilians University of Würzburg,1,profile_51
"Bachelor of Science - Bs, Mathematics",Imo State University,2,profile_51
"Master of Science - Msc, Mathematics",Technical University of Munich,1,profile_52
"Bachelor of Science - Bsc, Mathematic",Boğaziçi University,2,profile_52
"Bachelor of Science - Bsc, Mathematics",Technical University of Munich,3,profile_52
"Master of Science - Ms, Robotics, Cognition, Intelligence",Technical University of Munich,1,profile_53
"Bachelor of Science - Bs, Electrical And Computer Engineering",Technical University of Munich,2,profile_53
Studienkolleg,Karlsruhe Institute of Technology ,3,profile_53
"Master of Science - Ms, Management Information Systems, General",Technical University of Munich,1,profile_54
"Bachelor of Science - Bs, Information Systems",Communication University of China,2,profile_54
"Master of Science - Ms, Informatik",Ulm University,1,profile_55
"Bachelor of Science - Bs, Medieninformatik",Stuttgart Media University,2,profile_55
"Master of Science - Ms, Analytics",Georgia Institute of Technology,1,profile_56
"Professional Certificate, Aerospace Project Management",Caltech,2,profile_56
"Master of Science - Ms, Aeronautical Engineering",Universidad Carlos III de Madrid,3,profile_56
Master of Science ,Technical University of Munich,1,profile_57
"Diplom, Sportwissenschaft",Johannes Gutenberg University Mainz,2,profile_57
Master of Science ,Newcastle University,1,profile_58
"Bachelor's Degree, Applied Informatics",University of Macedonia,2,profile_58
Bachelor's Degree,University of Lisbon,3,profile_58
Bachelor of Applied Science ,Ludwig-Maximilians-Universität München,1,profile_59
"Master, Technolgie- Und Managementorientierte Bwl",Technical University of Munich,2,profile_59
Doktor ,University of Regensburg,1,profile_6
"Master of Science - Ms, Physik",University of Regensburg,2,profile_6
"Bachelor of Science - Bs, Physik",University of Regensburg,3,profile_6
"Diplom, Mathematics",The University of Bonn,1,profile_60
"Doctoral Degree, Mathematics",Technical University of Munich,1,profile_61
"Master of Science - Ms, Mathematics",Technical University of Munich,2,profile_61
"Bachelor of Science - Bs, Mathematics",Ulm University,3,profile_61
"Master's Degree, Web Science",University of Koblenz and Landau,1,profile_62
"Bachelor's Degree, Informational Systems And Technologies",University of Belgrade,2,profile_62
Doktor ,Technical University of Munich,1,profile_63
Visiting Scholar,Harvard University,2,profile_63
Visiting Scholar,Carnegie Mellon University,3,profile_63
"Master's Degree, Banking, Corporate, Finance, And Securities Law",Khatam University,1,profile_64
"Bachelor's Degree, Industrial Engineering",Azad University ,2,profile_64
"Diplomierter Wirtschaftswissenschaftler, Wirtschaftswissenschaften",University of Belgrade,1,profile_65
"Abitur, Mathematisch - Naturwissenschaftliche Richtung","Gymnasium,  XIII Beogradska Gimnazija, Belgrad",2,profile_65
Doktor ,Technical University of Munich,1,profile_66
"Exchange Student , Electrical Engineering",The University of Queensland,2,profile_66
Master of Science ,Technical University of Munich,3,profile_66
"Master's Degree, Transport, Infrastructure And Logistic",TU Delft,1,profile_67
"Bachelor's Degree, Civil Engineering",Tongji University,2,profile_67
Master In Mechanical Engineering And Management,Technical University of Munich,1,profile_68
Master In Professional Development,Universidad de Alcalá,2,profile_68
Master's Degree In Industrial Engineering,Universidad Pontificia Comillas,3,profile_68
Master of Science ,Ludwig-Maximilians-Universität München,1,profile_69
Bachelor of Science ,Ludwig-Maximilians-Universität München,2,profile_69
Data Analysis,Practicum,1,profile_7
Language Course,Deutsch Akademie,2,profile_7
"Master's Degree, Engineering/Industrial Management",Faculty of Science and Technology Tangier,3,profile_7
Master of Engineering ,Yildiz Technical University,1,profile_70
Bachelor of Engineering ,Sakarya University,2,profile_70
Production Engineering,Bremerhaven University of Applied Sciences,3,profile_70
"Doktor, Data Science",Paris Lodron Universität Salzburg,1,profile_71
Master of Science ,Paris Lodron Universität Salzburg,2,profile_71
Bachelor of Science ,Technische Universität München/ Universität Salzburg,3,profile_71
Master of Science ,Ludwig-Maximilians-Universität München,1,profile_72
Bachelor of Science ,Ludwig-Maximilians-Universität München,2,profile_72
Mathematics And Statistics,Universitat Politècnica de Catalunya,3,profile_72
"Master's Degree, Physics",ETH Zürich,1,profile_73
"Bachelor's Degree, Physics",Orta Doğu Teknik Üniversitesi / Middle East Technical University,2,profile_73
"Bachelor's Degree, Electrical And Electronics Engineering",Orta Doğu Teknik Üniversitesi / Middle East Technical University,3,profile_73
"Master of Science - Ms, Electrical And Computer Engineering",Technical University of Munich,1,profile_74
"Bachelor of Science - Bs, Electrical And Computer Engineering",Technical University of Munich,2,profile_74
"Student Exchange, M.Sc. Nanoscience And Nanotechnology",Universitat de Barcelona,3,profile_74
"Master of Science - Ms, Data Science",FAU Erlangen-Nürnberg,1,profile_75
"Bachelor's Degree, Computer Science",COMSATS Institute of Information and Technology,2,profile_75
"Master's Degree, Computer Science",Weizmann Institute of Science,1,profile_76
"Harvardx, Justice",edX,2,profile_76
"Master's Degree, Computer Science, Economics",Heidelberg University,3,profile_76
"Master of Science - Ms, Information Systems",Otto-Friedrich-Universität Bamberg,1,profile_77
"Master of Science - Ms, Applied Economics",Leopold-Franzens Universität Innsbruck,2,profile_77
Data Science Summer School,Free University of Bozen-Bolzano,3,profile_77
"Master's Degree, Data Engineering And Analytics",Technical University of Munich,1,profile_78
Bachelor of Engineering ,Ramaiah Institute Of Technology,2,profile_78
"Master of Science - Ms, Informationsorientierte Betriebswirtschaftslehre",University of Augsburg,1,profile_79
"Bachelor of Arts - Ba, Internationales Management",Hochschule Augsburg,2,profile_79
"Auslandssemester, Internationales Management",Waterford Institute of Technology,3,profile_79
"Master's Degree, Management of Information Systems",K. N. Toosi University of Technology,1,profile_8
"Bachelor of Science - Bs, Information Technology",Azad University ,2,profile_8
Bachelor of Technology ,kiit university,1,profile_80
"Higher Secondary, Science Stream","Delhi Public School,B.S.City",2,profile_80
"Master of Science - Ms, Biochemie",Ludwig-Maximilians-Universität München,1,profile_81
"Bachelor of Science - Bs, Biologie/Biologische Wissenschaften, Allgemein",Ludwig-Maximilians-Universität München,2,profile_81
"Master's Degree, Data Science",Ludwig-Maximilians-Universität München,1,profile_82
"Bachelor's Degree, Computer Science",Faculty of Computer Science and Engineering - Skopje,2,profile_82
Masters In Computer Simulation,Bergische Universität Wuppertal,1,profile_83
Bachelor of Science ,Bilkent University,2,profile_83
"Cambridge Gce A Levels, Pre-Engineering And Pre-Medicice",Nixor College,3,profile_83
"Master of Arts - Ma, Medical Information Management",Hochschule Hannover,1,profile_84
"Bachelor of Arts - Ba, Medical Information Management",Hochschule Hannover,2,profile_84
"Administración Y Dirección De Empresas, Mención Internacional",Universidad Pontificia Comillas,1,profile_85
Bachelor of Business Administration - Bba,Lancaster University,2,profile_85
"Master's Degree, Financial And Business Mathematics",University of Zagreb/Sveuciliste u Zagrebu,1,profile_87
"Master's Degree, Universitätsspezialistin Im Bereich",University of Zagreb/Sveuciliste u Zagrebu,2,profile_87
"Master of Science - Ms, Biotechnology",Bangalore University,1,profile_88
"Bachelor of Science - Bs, Biotechnology",Bangalore University,2,profile_88
"Bachelor of Science - Bs, Geographie/Bwl",Ludwig-Maximilians-Universität München,1,profile_89
Doctor of Philosophy ,The University of Edinburgh,1,profile_9
Master of Engineering ,Università di Pisa,2,profile_9
Bachelor of Engineering ,Università di Pisa,3,profile_9
Data Science And Big Data Analytics,MIT xPRO,1,profile_90
"Master's Degree, Statistics And Actuarial Science",Università degli Studi del Sannio-Benevento,2,profile_90
"Master of Science - Ms, Industrial Engineering And Management",Karlsruhe Institute of Technology ,1,profile_91
"Bachelor of Science - Bs, Industrial Engineering And Management",Karlsruhe Institute of Technology ,2,profile_91
Deep Reinforcement Learning Nanodegree,Udacity,1,profile_92
"Master's Degree, Data Science",Technische Universität Berlin,2,profile_92
Eit Future Cloud Summer School,KTH Royal Institute of Technology,3,profile_92
"M.Sc, Electrical Engineering And Information Technology",Deggendorf Institute of Technology,1,profile_93
"Master of Technology - Mtech, Electronics And Communication Engineering",Guru Gobind Singh Indraprastha University,2,profile_93
"Master of Business Administration - Mba, Marketing/Operation Management",Indira Gandhi National Open University,3,profile_93
Ai For Business Leaders,Udacity,1,profile_94
Data Analyst Nanodegree Program,Udacity,2,profile_94
Master of Science ,Technische Universität Chemnitz,3,profile_94
"Phd of Medical Research , Neuroscience",Ludwig-Maximilians-Universität München,1,profile_95
"Clinical Psychology, Health And Medical Psychology",Leiden University,2,profile_95
"Master of Science - Ms, Clinical Psychology, Social Neuroscience",University of Vienna,3,profile_95
"Promotion Zum Dr. Rer. Pol., Statistik Und Ökonometrie",FAU Erlangen-Nürnberg,1,profile_96
"Master of Science, Wirtschaftsmathematik",FAU Erlangen-Nürnberg,2,profile_96
"Bachelor of Science, Wirtschaftsmathematik",FAU Erlangen-Nürnberg,3,profile_96
Master of Science ,University of Mannheim,1,profile_97
Bachelor of Science ,University of Mannheim,2,profile_97
Doctor of Philosophy ,University of Cologne,1,profile_98
Biophysics,IHRS Biosoft Fellow,2,profile_98
"Master's Degree, Applied Physics And Math",Moscow Institute of Physics and Technology ,3,profile_98
Master of Science ,Hochschule München University of Applied Sciences,1,profile_99
Bachelor of Arts ,Hochschule München University of Applied Sciences,2,profile_99
"-, Business, Management, Marketing Und Verbundene Unterstützende Dienste",Hogeschool van Arnhem en Nijmegen ,3,profile_99
